predlozhenie;na_skolki_stranicah;primer_slugov
характеристики как читается марка кс кольцо стеновое;24;ks-10-10 ks-10-3 ks-10-5 ks-10-6 ks-10-9
частые вопросы чем отличается от соседних марок ряда;24;ks-10-10 ks-10-3 ks-10-5 ks-10-6 ks-10-9
комплект везём одной машиной;21;pp-10-1 pp-10-2 pp-12-2 pp-15-1 pp-15-2
блоки кладут на раствор с перевязкой швов вертикальные швы заполняют раствором ряды при необходимости армируют сеткой;18;fbs-12-3-6 fbs-12-4-3 fbs-12-4-6 fbs-12-5-6 fbs-12-6-6
где применяется тело ленточного фундамента стены подвала и техподполья цоколь подпорные участки;18;fbs-12-3-6 fbs-12-4-3 fbs-12-4-6 fbs-12-5-6 fbs-12-6-6
марки одного сечения кладут в один ряд вперемешку длинными идут прямые участки короткими закрываются углы и остатки;18;fbs-12-3-6 fbs-12-4-3 fbs-12-4-6 fbs-12-5-6 fbs-12-6-6
отгрузка по москве и области за дня разгрузка от машины;18;blok-protivofiltratsionnogo-ekrana catalog dorozhnomu-podryadchiku elementy-kollektorov fbs-dlya-stroitelstva
паспорт качества и сертификат соответствия вместе с машиной;18;fbs-12-3-6 fbs-12-4-3 fbs-12-4-6 fbs-12-5-6 fbs-12-6-6
полезное по теме если подбираете позицию впервые эти разборы экономят время маркировка фбс расшифровка и подбор блока как читается марка блока фбс для фундамента как посчитать количество блоков как посчитать количество на ленту фбс или монолитная лента чем блочный фундамент удобнее блоки или монолит что быстрее рядом в ряду соседние марки того же длинаа если по высоте не подходит ряд идёт дальше весь ряд с размерами и массами в разделе каталога;18;fbs-12-3-6 fbs-12-4-3 fbs-12-4-6 fbs-12-5-6 fbs-12-6-6
при массе кг блок ставится краном;18;fbs-12-3-6 fbs-12-4-3 fbs-12-4-6 fbs-12-5-6 fbs-12-6-6
сечение то же мм отличается длина;18;fbs-12-3-6 fbs-12-4-3 fbs-12-4-6 fbs-12-5-6 fbs-12-6-6
фактическую загрузку считаем по спецификации;18;fbs-12-3-6 fbs-12-4-3 fbs-12-4-6 fbs-12-5-6 fbs-12-6-6
характеристики как читается марка фбс фундаментный блок сплошной;18;fbs-12-3-6 fbs-12-4-3 fbs-12-4-6 fbs-12-5-6 fbs-12-6-6
частые вопросы чем отличается от соседних марок;18;fbs-12-3-6 fbs-12-4-3 fbs-12-4-6 fbs-12-5-6 fbs-12-6-6
числа в марке длина ширина и высота в дециметрах и мм;18;fbs-12-3-6 fbs-12-4-3 fbs-12-4-6 fbs-12-5-6 fbs-12-6-6
высота мм полный блок им набирают ряд;15;fbs-12-3-6 fbs-12-4-6 fbs-12-5-6 fbs-12-6-6 fbs-24-3-6
изделия едут на объект прямо с производственной площадки поставку планируем под ваш график;13;bryansk kaluga kursk lipetsk oryol
ориентиры по зонам на странице доставки;13;bryansk kaluga kursk lipetsk oryol
оставить заявку zakaz regiongbi ru;13;bryansk kaluga kursk lipetsk oryol
стоимость рейса считаем под адрес массу и габарит партии длинномер под лотки и машина под комплект колодца стоят по разному;13;bryansk kaluga kursk lipetsk oryol
типоразмер под кольцо рабочие камеры с задвижками и водомерными узлами;13;kcd-15-10 kcd-15-9 pk-15 pn-15 pp-15-1
типоразмер под кольцо самый ходовой диаметр на инженерных сетях;13;kcd-10-10 kcd-10-6 kcd-10-9 pk-10 pn-10
в нашем ряду типоразмер это мм и а и;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
внутренний диаметр мм длина звена мм;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
второе вариант лаза;12;ppl-10-1 ppl-10-2 ppl-15-1 ppl-15-2 ppl-20-1
да под круглые звенья зк;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
если проектом заложено плоское опирание вместо зк берут звенья зкп и лекальные блоки не нужны;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
звено водопропускной трубы размеры вес цена звено круглой железобетонной водопропускной трубы внутренним диаметром мм и длиной мм;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
здесь стык работает плотнее в первом случае за счёт замка во втором за счёт готового узла с люком;12;ppl-10-1 ppl-10-2 ppl-15-1 ppl-15-2 ppl-20-1
значит это диаметр мм и длина мм;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
из таких звеньев на дороге собирают трубу под насыпью их стыкуют в нитку по ширине насыпи снизу подкладывают лекальные блоки по торцам ставят оголовки;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
какой диаметр у;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
масса кг изделие идёт вместе с остальным комплектом;12;db dk k1-a ko-1 ko-1-5
на каждый конец трубы ставят оголовок из портальной стенки и пары откосных;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
например на м уйдёт звеньев;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
ниже идут кольца и днище внутри скобы для спуска;12;ppl-10-1 ppl-10-2 ppl-15-1 ppl-15-2 ppl-20-1
нужны ли лекальные блоки;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
обычная пп просто ложится на кольцо;12;ppl-10-1 ppl-10-2 ppl-15-1 ppl-15-2 ppl-20-1
первое число диаметр кольца в дециметрах мм;12;ppl-10-1 ppl-10-2 ppl-15-1 ppl-15-2 ppl-20-1
под звенья зкп с плоским опиранием нет;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
полезное по теме если подбираете позицию впервые эти разборы экономят время комплект водопропускной трубы звенья зк блоки бл оголовки что ещё нужно на трубу зк или зкп что выбрать круглое опирание против плоского рядом в ряду другие марки этого раздела весь ряд в разделе каталога;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
полезное по теме если подбираете позицию впервые эти разборы экономят время портальные и откосные стенки стк что где ставят где какая стенка комплект водопропускной трубы что ещё входит в комплект рядом в ряду другие марки этого раздела весь ряд в разделе каталога;12;st-1 st-2 stk-1 stk-10 stk-11
с чем комплектуется звенья зк опираются на лекальные блоки бл у блока вогнутое ложе по форме трубы звено ложится в него и не смещается вбок;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
с чем комплектуется ставится на верхнее кольцо колодца;12;ppl-10-1 ppl-10-2 ppl-15-1 ppl-15-2 ppl-20-1
сколько звеньев нужно на трубу;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
типоразмер под кольцо крупные камеры и коллекторные узлы;12;kcd-20-10 kcd-20-9 pk-20 pn-20 pp-20-1
труба длиной м набирается из таких звеньев это кг только по телу трубы;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
характеристики как читается марка первая цифра типоразмер по диаметру число после точки длина звена в сантиметрах;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
частые вопросы чем эта плита отличается от обычной пп;12;ppl-10-1 ppl-10-2 ppl-15-1 ppl-15-2 ppl-20-1
через трубу вода из канавы уходит под дорогой не размывая насыпь;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
ширину насыпи по низу делят на длину звена;12;zk-1-100 zk-14-132 zk-16-132 zk-2-100 zk-3-100
это и кг;12;st-1 st-2 stk-1 stk-10 stk-11
нужен расчёт комплекта целиком пришлите спецификацию посчитаем позиции и доставку одной суммой;11;blok-protivofiltratsionnogo-ekrana elementy-kollektorov fundamenty-pod-dorozhnye-znaki lekalnye-bloki-bl neprohodnye-kanaly-nkl
полный прайс открыт;11;bryansk kaluga kursk lipetsk oryol
договор с юрлицами безнал отсрочка подрядчикам паспорт на партию;10;blok-protivofiltratsionnogo-ekrana dnishcha-kolodtsev-pd elementy-kollektorov fundamenty-pod-dorozhnye-znaki kryshki-kolodtsev-pp
цены с ндс на от;10;blok-protivofiltratsionnogo-ekrana elementy-kollektorov fundamenty-pod-dorozhnye-znaki lekalnye-bloki-bl neprohodnye-kanaly-nkl
берут под герметичные ёмкости септики и колодцы в воде;9;kcd-10-10 kcd-10-6 kcd-10-9 kcd-15-10 kcd-15-9
в ней отлит лаз под люк через него спускаются для обслуживания а сама плита принимает нагрузку от грунта и если колодец в проезжей части от транспорта;9;pp-10-1 pp-10-2 pp-12-2 pp-15-1 pp-15-2
второе высота мм;9;kcd-10-10 kcd-10-6 kcd-10-9 kcd-15-10 kcd-15-9
второе исполнение по расположению и размеру лаза;9;pp-10-1 pp-10-2 pp-12-2 pp-15-1 pp-15-2
кольцо с дном кольцо с монолитным дном нижний элемент колодца отлитый заодно с днищем;9;kcd-10-10 kcd-10-6 kcd-10-9 kcd-15-10 kcd-15-9
первое число внутренний диаметр в дециметрах мм;9;kcd-10-10 kcd-10-6 kcd-10-9 kcd-15-10 kcd-15-9
первое число диаметр кольца в дециметрах то есть мм;9;pp-10-1 pp-10-2 pp-12-2 pp-15-1 pp-15-2
плита перекрытия плита перекрытия закрывает колодец сверху;9;pp-10-1 pp-10-2 pp-12-2 pp-15-1 pp-15-2
под проезжей частью плиту перекрытия дополняют разгрузочной опорной плитой и люком тяжёлого типа тогда нагрузка от колеса распределяется на грунт а не на верхнее кольцо;9;pp-10-1 pp-10-2 pp-12-2 pp-15-1 pp-15-2
полезное по теме если подбираете позицию впервые эти разборы экономят время кольцо с дном кцд или кольцо кс с днищем пд что выбрать кцд или связка кольцо плюс днище дренажный колодец из бетонных колец устройство и подбор где кцд выигрывает у сборного дна рядом в ряду другие марки этого раздела весь ряд с размерами и массами в разделе каталога;9;kcd-10-10 kcd-10-6 kcd-10-9 kcd-15-10 kcd-15-9
ради герметичности и скорости монолитное дно не имеет стыка с первым кольцом а на монтаже экономится один подъём краном;9;kcd-10-10 kcd-10-6 kcd-10-9 kcd-15-10 kcd-15-9
с чем комплектуется ложится на верхнее кольцо колодца в лаз ставится люк при нагрузке от транспорта сверху добавляется опорная плита;9;pp-10-1 pp-10-2 pp-12-2 pp-15-1 pp-15-2
с чем комплектуется ставится в основание вместо связки днище плюс кольцо;9;kcd-10-10 kcd-10-6 kcd-10-9 kcd-15-10 kcd-15-9
сверху идут обычные кольца нужной высоты плита перекрытия люк и скобы;9;kcd-10-10 kcd-10-6 kcd-10-9 kcd-15-10 kcd-15-9
характеристики кольцо с дном как читается марка кцд кольцо с днищем;9;kcd-10-10 kcd-10-6 kcd-10-9 kcd-15-10 kcd-15-9
характеристики плита перекрытия как читается марка пп плита перекрытия;9;pp-10-1 pp-10-2 pp-12-2 pp-15-1 pp-15-2
частые вопросы выдержит ли плита проезжую часть;9;pp-10-1 pp-10-2 pp-12-2 pp-15-1 pp-15-2
частые вопросы зачем брать кцд вместо днища и кольца отдельно;9;kcd-10-10 kcd-10-6 kcd-10-9 kcd-15-10 kcd-15-9
это одна позиция вместо двух и один стык вместо двух меньше работы на объекте и меньше мест где колодец может подтекать;9;kcd-10-10 kcd-10-6 kcd-10-9 kcd-15-10 kcd-15-9
входят железобетонные элементы колодца;8;vd-8 vg-10 vg-12 vg-15 vg-20
люк и скобы считаются отдельно их подбирают под нагрузку и глубину;8;vd-8 vg-10 vg-12 vg-15 vg-20
люк скобы и материалы для герметизации стыков в комплект не входят и считаются отдельной строкой;8;vd-8 vg-10 vg-12 vg-15 vg-20
массу самой тяжёлой позиции в партии уточняем заранее чтобы подать технику с нужным вылетом стрелы;8;bryansk kursk lipetsk oryol smolensk
нажмите на марку откроется карточка с полными характеристиками;8;dnishcha-kolodtsev-pd fbs-bloki kolodtsy-unifitsirovannye koltsa-kolodeznye-ks koltsa-s-dnom-ktsd
нужной марки нет в таблице или нужен расчёт комплекта целиком пришлите спецификацию посчитаем позиции и доставку одной суммой;8;dnishcha-kolodtsev-pd fbs-bloki kolodtsy-unifitsirovannye koltsa-kolodeznye-ks koltsa-s-dnom-ktsd
одна строка в спецификации вместо пяти и гарантия что элементы подойдут друг к другу по геометрии;8;vd-8 vg-10 vg-12 vg-15 vg-20
паспорт качества на партию и сертификат соответствия уходят вместе с грузом;8;catalog dorozhnomu-podryadchiku fbs-dlya-stroitelstva koltsa-dlya-inzhenernyh-setey resheniya
по каждой марке дадим размеры массу и объём бетона на партию паспорт качества;8;dnishcha-kolodtsev-pd koltsa-kolodeznye-ks koltsa-s-dnom-ktsd lekalnye-bloki-bl otkosnye-stenki
подбирайте по проекту а если проекта под рукой нет пришлите размеры поможем определить;8;pk-10 pk-12 pk-15 pk-20 pk-25
полезное по теме если подбираете позицию впервые эти разборы экономят время унифицированные колодцы вг вс вд чем отличаются чем вг отличается от вс и вд как собрать колодец комплектом снизу вверх по из чего состоит колодец целиком рядом в ряду другие марки этого раздела весь ряд с размерами и массами в разделе каталога;8;vd-8 vg-10 vg-12 vg-15 vg-20
при замене узла проверяйте по проекту серии не взаимозаменяемы;8;pk-10 pk-12 pk-15 pk-20 pk-25
с чем комплектуется в комплект входят днище кольца плита перекрытия и горловина;8;vd-8 vg-10 vg-12 vg-15 vg-20
с чем комплектуется работает в паре с кольцами и днищем той же серии;8;pk-10 pk-12 pk-15 pk-20 pk-25
типоразмер под кольцо;8;pk-12 pn-12 pn-8 pp-12-2 pp-8-1
у серии своя геометрия опирания;8;pk-10 pk-12 pk-15 pk-20 pk-25
характеристики плита как читается марка обозначение по альбому число привязка к диаметру колодца в дециметрах мм;8;pk-10 pk-12 pk-15 pk-20 pk-25
цены с ндс на отгрузка по москве и области за дня;8;dnishcha-kolodtsev-pd fbs-bloki kolodtsy-unifitsirovannye koltsa-kolodeznye-ks koltsa-s-dnom-ktsd
частые вопросы можно ли поставить вместо неё обычную пп;8;pk-10 pk-12 pk-15 pk-20 pk-25
частые вопросы что входит в комплект и чего в нём нет;8;vd-8 vg-10 vg-12 vg-15 vg-20
диаметр мм самый компактный в ряду;7;ks-7-0-1 ks-7-1-5 ks-7-10 ks-7-3 ks-7-5
днище держит вес всей конструкции и не даёт колодцу просесть или подсосать грунтовую воду;7;pn-10 pn-12 pn-15 pn-20 pn-25
днище колодца плита низа основание колодца;7;pn-10 pn-12 pn-15 pn-20 pn-25
её укладывают на подготовку из щебня сверху ставят первое кольцо и уже от него набирают шахту;7;pn-10 pn-12 pn-15 pn-20 pn-25
комплект на колодец везём одной машиной;7;pn-10 pn-12 pn-15 pn-20 pn-25
логистика и документы возим по москве области и цфо;7;bryansk kursk lipetsk oryol tambov
на объём отдельный расчёт а не позиционная цена из прайса;7;bryansk kursk lipetsk oryol tambov
пд в отраслевом обиходе означает то же изделие поэтому в поиске встречаются оба варианта;7;pn-10 pn-12 pn-15 pn-20 pn-25
пн плита низа в прайсе днища проходят именно под этим обозначением;7;pn-10 pn-12 pn-15 pn-20 pn-25
по ним марка определяется однозначно;7;dorozhnomu-podryadchiku fbs-dlya-stroitelstva koltsa-dlya-inzhenernyh-setey resheniya zastroyshchiku
полезное по теме если подбираете позицию впервые эти разборы экономят время как собрать колодец комплектом снизу вверх по что и в каком порядке ставится на днище сколько колец нужно для колодца считаем по глубине сколько колец встанет сверху рядом в ряду другие марки этого раздела весь ряд с размерами и массами в разделе каталога;7;pn-10 pn-12 pn-15 pn-20 pn-25
с чем комплектуется ставится под кольцо соответствующего диаметра дальше идут кольца плита перекрытия с лазом люк и скобы;7;pn-10 pn-12 pn-15 pn-20 pn-25
характеристики днище колодца как читается марка пн плита низа;7;pn-10 pn-12 pn-15 pn-20 pn-25
частые вопросы чем пн отличается от пд;7;pn-10 pn-12 pn-15 pn-20 pn-25
человек в такой колодец спускается но развернуться внутри негде поэтому его ставят там где нужен только доступ к трубе дренаж кабельная канализация смотровые на вводах;7;ks-7-0-1 ks-7-1-5 ks-7-10 ks-7-3 ks-7-5
число привязка к диаметру кольца мм;7;pn-10 pn-12 pn-15 pn-20 pn-25
ширина мм самая ходовая совпадает с толщиной типовой наружной стены;7;fbs-12-4-3 fbs-12-4-6 fbs-24-4-6 fbs-6-4-3 fbs-6-4-6
без оголовка насыпь у трубы размывается поэтому портальные стенки идут в обязательный комплект дорожной трубы;6;stk-1 stk-2 stk-5 stk-6 stk-7
в старой маркировке эта же позиция обозначалась поэтому в прайсе указаны оба обозначения в спецификациях встречаются и те и другие;6;stk-1 stk-2 stk-5 stk-6 stk-7
да на партию паспорт качества;6;dnishcha-kolodtsev-pd fbs-bloki koltsa-kolodeznye-ks koltsa-s-dnom-ktsd lyuki-chugunnye
две на вход и на выход;6;stk-1 stk-2 stk-5 stk-6 stk-7
заказывают парой на оголовок;6;st-1 st-2 stk-10 stk-11 stk-12
замок держит плиту от смещения и делает стык плотнее это важно там где колодец подтапливает или где по нему ездят;6;ppz-10-1 ppz-10-2 ppz-15-1 ppz-15-2 ppz-20-1
и одно изделие;6;stk-1 stk-2 stk-5 stk-6 stk-7
их подбирают в связке с портальной;6;stk-1 stk-2 stk-5 stk-6 stk-7
левая и правая это разные изделия;6;st-1 st-2 stk-10 stk-11 stk-12
на одну трубу нужно две стенки кг;6;stk-1 stk-2 stk-5 stk-6 stk-7
на трубу нужно два оголовка на вход и на выход то есть две портальные стенки;6;stk-1 stk-2 stk-5 stk-6 stk-7
на трубу с двумя оголовками нужно четыре откосные стенки по паре на каждый конец;6;st-1 st-2 stk-10 stk-11 stk-12
на трубу с двумя оголовками нужно четыре стенки кг;6;st-1 st-2 stk-10 stk-11 stk-12
номер растёт вместе с диаметром трубы и высотой насыпи;6;stk-1 stk-2 stk-5 stk-6 stk-7
номер растёт вместе с диаметром трубы и высотой насыпи марку подбирают в связке с портальной стенкой того же оголовка;6;st-1 st-2 stk-10 stk-11 stk-12
откосная стенка размеры вес цена откосная стенка оголовка водопропускной трубы;6;st-1 st-2 stk-10 stk-11 stk-12
пара откосных стенок левая и правая;6;stk-1 stk-2 stk-5 stk-6 stk-7
плита перекрытия с замком плита перекрытия с замком садится на кольцо в фальц а не просто ложится сверху;6;ppz-10-1 ppz-10-2 ppz-15-1 ppz-15-2 ppz-20-1
плита перекрытия с полимерным люком плита поставляется сразу с полимерным люком не нужно отдельно подбирать люк и везти его другой позицией;6;ppl-10-1 ppl-10-2 ppl-15-1 ppl-15-2 ppl-20-1
полимер легче чугуна не примерзает и не интересен сборщикам металла на удалённых объектах это решает;6;ppl-10-1 ppl-10-2 ppl-15-1 ppl-15-2 ppl-20-1
портальная закрывает торец трубы откосные ставятся по бокам под наклон и держат откос насыпи;6;st-1 st-2 stk-10 stk-11 stk-12
портальная стенка размеры вес цена лицевая часть оголовка водопропускной трубы;6;stk-1 stk-2 stk-5 stk-6 stk-7
поставляется левой и правой на один оголовок нужна пара;6;st-1 st-2 stk-10 stk-11 stk-12
проекта нет хватит трёх параметров что за сооружение габарит и нагрузка сверху;6;dorozhnomu-podryadchiku fbs-dlya-stroitelstva koltsa-dlya-inzhenernyh-setey zastroyshchiku zhbi-dlya-teplotrass
с чем комплектуется идёт в оголовок вместе с портальной стенкой;6;st-1 st-2 stk-10 stk-11 stk-12
с чем комплектуется оголовок собирается из портальной стенки и пары откосных левой и правой;6;stk-1 stk-2 stk-5 stk-6 stk-7
сколько откосных стенок нужно на трубу;6;st-1 st-2 stk-10 stk-11 stk-12
сколько портальных стенок нужно на трубу;6;stk-1 stk-2 stk-5 stk-6 stk-7
ставится с торца трубы удерживает откос насыпи от осыпания и оформляет вход или выход воды;6;stk-1 stk-2 stk-5 stk-6 stk-7
ставится сбоку от входа под наклон удерживает откос насыпи и направляет поток воды в трубу а на выходе обратно в русло;6;st-1 st-2 stk-10 stk-11 stk-12
старое обозначение той же позиции;6;stk-1 stk-2 stk-5 stk-6 stk-7
тело трубы звенья зк на лекальных блоках;6;st-1 st-2 stk-10 stk-11 stk-12
тело трубы звенья зк под ними лекальные блоки бл;6;stk-1 stk-2 stk-5 stk-6 stk-7
характеристики как читается марка стк стенка оголовка водопропускной трубы;6;stk-1 stk-2 stk-5 stk-6 stk-7
характеристики плита перекрытия с замком как читается марка ппз плита перекрытия соответствующего исполнения;6;ppz-10-1 ppz-10-2 ppz-15-1 ppz-15-2 ppz-20-1
характеристики плита перекрытия с полимерным люком как читается марка ппл плита перекрытия соответствующего исполнения;6;ppl-10-1 ppl-10-2 ppl-15-1 ppl-15-2 ppl-20-1
цены с ндс на весь прайс открыт раздел цен;6;dorozhnomu-podryadchiku fbs-dlya-stroitelstva koltsa-dlya-inzhenernyh-setey zastroyshchiku zhbi-dlya-teplotrass
чем откосная стенка отличается от портальной;6;st-1 st-2 stk-10 stk-11 stk-12
четыре по паре левая и правая на каждый оголовок;6;st-1 st-2 stk-10 stk-11 stk-12
что ещё входит в оголовок;6;stk-1 stk-2 stk-5 stk-6 stk-7
что прислать чтобы получить расчёт быстрее всего спецификация из проекта посчитаем позиции и доставку одной суммой;6;dorozhnomu-podryadchiku fbs-dlya-stroitelstva koltsa-dlya-inzhenernyh-setey zastroyshchiku zhbi-dlya-teplotrass
берут когда колодец мелкий или когда нужно добрать высоту точнее чем позволяет кольцо на мм;5;ks-10-6 ks-15-6 ks-20-6 ks-25-6 ks-7-6
блок фундаментный длина мм короткий доборный торцы узкие простенки обходы коммуникаций;5;fbs-9-3-6 fbs-9-4-3 fbs-9-4-6 fbs-9-5-6 fbs-9-6-6
блок фундаментный длина мм половинный блок простенки углы места примыканий;5;fbs-12-3-6 fbs-12-4-3 fbs-12-4-6 fbs-12-5-6 fbs-12-6-6
в этот колодец нужен спуск лестницы и ходовые скобы производим сами везём одной машиной вместе с кольцами и люком лестницы для колодцев кл ходовые скобы справочник объём бетона и вес жби все марки колец днищ плит и фбс с характеристиками для сметы и подбора крана;5;dnishcha-kolodtsev-pd koltsa-kolodeznye-ks koltsa-s-dnom-ktsd kryshki-kolodtsev-pp opornye-plity-op
внутри помещается человек с инструментом а стоимость метра шахты остаётся низкой поэтому большинство смотровых колодцев на сетях собирают именно из него;5;ks-10-10 ks-10-3 ks-10-5 ks-10-6 ks-10-9
габарит мм масса кг;5;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a lp-8-1
да фбс отгружаем на объём;5;bryansk lipetsk smolensk tambov voronezh
даёт метр шахты за один монтажный цикл меньше стыков на ту же глубину меньше мест где колодец может потечь;5;ks-10-10 ks-15-10 ks-20-10 ks-25-9 ks-7-10
диаметр мм берут когда внутри колодца должно что то стоять задвижка водомерный узел поворот трубы;5;ks-15-10 ks-15-3 ks-15-5 ks-15-6 ks-15-9
диаметр мм крупная камера;5;ks-20-10 ks-20-3 ks-20-5 ks-20-6 ks-20-9
диаметр мм рабочая лошадь линейки;5;ks-10-10 ks-10-3 ks-10-5 ks-10-6 ks-10-9
диапазон по ряду от до;5;dobornye-elementy-kanalov lotki-l-3006-1-2-87 lotki-lk-3006-1-8 plity-p-3006-1-2-87 plity-pt-3006-1-8
документы паспорт качества на партию и сертификат соответствия уходят вместе с машиной;5;dobornye-elementy-kanalov lotki-l-3006-1-2-87 lotki-lk-3006-1-8 plity-p-3006-1-2-87 plity-pt-3006-1-8
доставка позиции тяжёлые и негабаритные разгрузка краном машина подбирается под длину изделия а не только под массу;5;dobornye-elementy-kanalov lotki-l-3006-1-2-87 lotki-lk-3006-1-8 plity-p-3006-1-2-87 plity-pt-3006-1-8
кольцо стеновое кольцо высотой мм повышенное;5;ks-10-10 ks-15-10 ks-20-10 ks-25-9 ks-7-10
кольцо стеновое кольцо высотой мм укороченный типоразмер;5;ks-10-6 ks-15-6 ks-20-6 ks-25-6 ks-7-6
крупногабарит длинномером разгрузка от машины;5;bryansk dostavka kursk oryol tver
лотки плиты и днища одного канала стараемся везти вместе чтобы не оплачивать два рейса;5;dobornye-elementy-kanalov lotki-l-3006-1-2-87 lotki-lk-3006-1-8 plity-p-3006-1-2-87 plity-pt-3006-1-8
лёгкий ставят там где движения нет;5;db dk lch-l lch-t lch-tmr
монтаж только краном;5;ks-20-10 ks-20-3 ks-20-5 ks-20-6 ks-20-9
отметка люка выводится опорными кольцами до уровня покрытия;5;db dk lch-l lch-t lch-tmr
плита плита покрытия по альбому;5;pk-10 pk-12 pk-15 pk-20 pk-25
по нагрузке в месте установки если по люку будет ездить транспорт только тяжёлый;5;db dk lch-l lch-t lch-tmr
полезное по теме если подбираете позицию впервые эти разборы экономят время чугунные люки классы нагрузки и выбор классы нагрузки где лёгкий где тяжёлый жби для ливневой канализации кольца дождеприёмники лотки что ещё нужно для ливнёвки рядом в ряду другие марки этого раздела весь ряд с размерами и массами в разделе каталога;5;db dk lch-l lch-t lch-tmr
полный ряд с ценами цены с ндс на;5;dobornye-elementy-kanalov lotki-l-3006-1-2-87 lotki-lk-3006-1-8 plity-p-3006-1-2-87 plity-pt-3006-1-8
полтора метра дают место и оборудованию и человеку который будет его обслуживать;5;ks-15-10 ks-15-3 ks-15-5 ks-15-6 ks-15-9
